k,x,y,permutations
318,31,8,318073392000
557,55,7,1022755734000
692,69,2,4692
729,72,9,30885807297945600
2226,222,6,111822261510960
2437,243,7,45853567243767360
2776,277,6,427763435299200
3209,320,9,31408938532094015692800
4436,44,36,65929354533443669842351830630322814740070400000000
5336,53,36,12018651620450962379065929102782543261054533632000000000
5549,55,49,17633893546747605452729306732731273554972668127013106614272000000000000
5718,571,8,10757184264499237084800
5956,59,56,23113853090948305956323169953398234390983812795447905423470215823360000000000000
6068,606,8,17363260684844263728000
6141,61,41,208631589834411495447500311167805477951384620404614103040000000000
6353,63,53,546353702437290582042588929773450765416879874952399864447277226524672000000000000
6958,69,58,4286978225412390556669581200929754867431020144238024325438112296658481635655680000000000000
7045,70,45,772252560342321903176574818671704540875145600149590957991940587520000000000
7046,70,46,19306314008558047579414370466792613521878640003739773949798514688000000000000
7338,73,38,432599579146066996988173790454953265137338556001353623142400000000
7345,73,45,14661483590674924630638048663646317345625932767675201228103399505920000000000
7643,76,43,217139897955735160602237928728540151809565989476431440307342540800000000000
7865,78,65,1818571278613088594702866763947865121749994729339630917893989181097457603680109879550279680000000000000000
8261,82,61,9304278087173491435904759980456080004656967410644886180354190556603691758261003190534144000000000000000
8409,840,9,199451751647392684094054400
9153,91,53,258497717407935676183578136530739547375583014297712199865797425139153575814008668160000000000000
9178,917,8,484905917811064208659200
9242,92,42,408968762347995604798924135869708821626163761224372840529992427241472000000000
9544,95,44,6659695440046801369205068737224205475927700824690772555524576684309217280000000000
9569,95,69,25614176058630113724962702602036055421893995744542268572607058891946509238624560274995693498745010299863040000000000000000
9664,96,64,3768763655477001742818696641482313596808622711970129740365111571932733789840646025712828112768598016000000000000000
9894,98,94,392787102036801989401091072627385103075403906836622985978926615720612794584300991620124006633655379992650243774525352517892193648640000000000000000000000
9999,99,99,933262154439441526816992388562667004907159682643816214685929638952175999932299156089414639761565182862536979208272237582511852109168640000000000000000000000
