k,|k|,x,|x|,y,|y|,permutations,|permutations|
318,3,31,2,8,1,318073392000,12
557,3,55,2,7,1,1022755734000,13
692,3,69,2,2,1,4692,4
729,3,72,2,9,1,30885807297945600,17
2226,4,222,3,6,1,111822261510960,15
2437,4,243,3,7,1,45853567243767360,17
2776,4,277,3,6,1,427763435299200,15
3209,4,320,3,9,1,31408938532094015692800,23
4436,4,44,2,36,2,65929354533443669842351830630322814740070400000000,50
5336,4,53,2,36,2,12018651620450962379065929102782543261054533632000000000,56
5549,4,55,2,49,2,17633893546747605452729306732731273554972668127013106614272000000000000,71
5718,4,571,3,8,1,10757184264499237084800,23
5956,4,59,2,56,2,23113853090948305956323169953398234390983812795447905423470215823360000000000000,80
6068,4,606,3,8,1,17363260684844263728000,23
6141,4,61,2,41,2,208631589834411495447500311167805477951384620404614103040000000000,66
6353,4,63,2,53,2,546353702437290582042588929773450765416879874952399864447277226524672000000000000,81
6958,4,69,2,58,2,4286978225412390556669581200929754867431020144238024325438112296658481635655680000000000000,91
7045,4,70,2,45,2,772252560342321903176574818671704540875145600149590957991940587520000000000,75
7046,4,70,2,46,2,19306314008558047579414370466792613521878640003739773949798514688000000000000,77
7338,4,73,2,38,2,432599579146066996988173790454953265137338556001353623142400000000,66
7345,4,73,2,45,2,14661483590674924630638048663646317345625932767675201228103399505920000000000,77
7643,4,76,2,43,2,217139897955735160602237928728540151809565989476431440307342540800000000000,75
7865,4,78,2,65,2,1818571278613088594702866763947865121749994729339630917893989181097457603680109879550279680000000000000000,106
8261,4,82,2,61,2,9304278087173491435904759980456080004656967410644886180354190556603691758261003190534144000000000000000,103
8409,4,840,3,9,1,199451751647392684094054400,27
9153,4,91,2,53,2,258497717407935676183578136530739547375583014297712199865797425139153575814008668160000000000000,96
9178,4,917,3,8,1,484905917811064208659200,24
9242,4,92,2,42,2,408968762347995604798924135869708821626163761224372840529992427241472000000000,78
9544,4,95,2,44,2,6659695440046801369205068737224205475927700824690772555524576684309217280000000000,82
9569,4,95,2,69,2,25614176058630113724962702602036055421893995744542268572607058891946509238624560274995693498745010299863040000000000000000,122
9664,4,96,2,64,2,3768763655477001742818696641482313596808622711970129740365111571932733789840646025712828112768598016000000000000000,115
9894,4,98,2,94,2,392787102036801989401091072627385103075403906836622985978926615720612794584300991620124006633655379992650243774525352517892193648640000000000000000000000,153
9999,4,99,2,99,2,933262154439441526816992388562667004907159682643816214685929638952175999932299156089414639761565182862536979208272237582511852109168640000000000000000000000,156
